Jänschwalde C;Lausitz Energie Kraftwerke AG (LEAG);BB;03185;Peitz;535,0;76,3;1984 (1996);DKW;Braunkohle
Jänschwalde D;Lausitz Energie Kraftwerke AG (LEAG);BB;03185;Peitz;535,0;76,3;1985 (1996);DKW;Braunkohle
Jänschwalde E;Lausitz Energie Kraftwerke AG (LEAG);BB;03185;Peitz;535,0;76,3;1987 (1996);DKW;Braunkohle
Jänschwalde F;Lausitz Energie Kraftwerke AG (LEAG);BB;03185;Peitz;535,0;76,3;1989 (1996);DKW;Braunkohle
Jena-Süd;Uniper SE;TH;07745;Jena;204,0;225,0;1996;HKW / GuD;Erdgas
Jochenstein / Donau;Grenzkraftwerke GmbH;BY;94107;Untergriesbach;133,7;;1957;LWK;Wasser
Karlsruhe-RDK 4s;EnBW (Rheinhafen) / StW Karlsruhe;BW;76189;Karlsruhe;363,0;n.b.;1998;GuD;Erdgas
Karlsruhe-RDK 7;EnBW (Rheinhafen);BW;76189;Karlsruhe;550,0;220,0;1985 (2005);HKW;Steinkohle
Karlsruhe-RDK 8;EnBW (Rheinhafen);BW;76189;Karlsruhe;912,0;220,0;2014;DKW;Steinkohle
Kiel-Ost (GKK);Gemeinschaftskraftwerk Kiel GmbH;SH;24149;Kiel;354,0;295,0;1970 (1992);HKW;Steinkohle
Kirchlengern 1;Energieservice Westfalen-Weser GmbH (EWW);NW;32278;Kirchlengern;184,5;n.b.;1980;GuD;Erdgas
Kirchmöser;Uniper SE;BB;14774 ;Brandenburg;207,0;n.b.;1994;GuD;Erdgas
Klettwitz;Klettwitz Green Energy;BB;01998;Klettwitz;182,2;;2000 / 2015;WEA;Wind (L)
Knapsack - Hürth I;Statkraft Markets GmbH;NW;50354;Köln-Hürth;812,0;n.b.;2007;GuD;Erdgas
Knapsack - Hürth II;Statkraft Markets GmbH;NW;50354;Köln-Hürth;450,0;n.b.;2013;GuD;Erdgas
Köln (Ineos);Ineos Manufacturing Deutschland GmbH;NW;50769;Köln;106,5;n.b.;1963-1967;G/AK;HEL, Cracköl
Köln-Godorf;REG Raffinerie-Energie oHG;NW;50997;Köln;215,0;235,0;1988 (2004);IKW / GuD;Erdgas, Raffineriegas
Köln-Merkenich 4+6;RheinEnergie AG;NW;50769;Köln;103,0;168,0;2010;SSA;Braunkohle, Erdgas
Köln-Merkenich GuD;RheinEnergie AG;NW;50769;Köln;110,0;80,0;2004;GuD;Erdgas
Köln-Niehl II;RheinEnergie AG;NW;50735;Köln;421,0;370,0;2005 (2008);GuD;Erdgas
Köln-Niehl III;RheinEnergie AG;NW;50735;Köln;453,0;265,0;2016;GuD;Erdgas
Koepchenwerk / Ruhr;RWE Power AG;NW;58313;Herdecke;165,0;;1930 (1989);PSW;Wasser
Körbelitz;Windpark Körbelitz GmbH & Co. KG;ST;39175;Körbelitz;134,0;;2009;WEA;Wind (L)
Krefeld-Uerdingen N 230;Currenta GmbH & Co. OHG;NW;47829;Krefeld;116,0;460,0;1971;SSA;Steinkohle, Erdgas
Langenprozelten / Main;Uniper SE;BY;97737;Gemünden;168,4;;1976;PSW;Wasser
Laufenburg / Rhein;Energiedienst AG (EnBW);BW;79725;Laufenburg (Baden);110,0;;1914 (1994);LWK;Wasser
Lausward A (Anton);StW Düsseldorf;NW;40221 ;Düsseldorf;114,0;75,0;2000;GuD;Erdgas
Lausward E (Emil) DT-1;StW Düsseldorf;NW;40221;Düsseldorf;324,0;140,0;1976;HKW;Erdgas
Lausward E (Emil) GT-1 u. 2;StW Düsseldorf;NW;40221;Düsseldorf;134,0;;1974 / 1975;GT;Erdgas
"Lausward F (""Fortuna"")";StW Düsseldorf;NW;40221;Düsseldorf;595,0;300,0;2016;GuD;Erdgas
